Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Model_Family,Vehicle_Age,Is_Hybrid,Region,MPG_City,MPG_Highway,MPG_Combined,Engine_Displacement_L,Engine_Cylinders,Price_Per_Mile,Has_Ratings
2023,Honda,Ridgeline RTL,New,46370.0,4.8,9,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F58PB011817,10.0,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer,Ridgeline,0,False,West,,,,3.5,6.0,,True
2023,Honda,CR-V Hybrid Sport,New,34150.0,1.7,24,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H5XPH702953,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,CR-V Hybrid Sport,New,34245.0,4.7,2869,Meteorite Gray Metallic,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH704805,1.0,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2022,Honda,Pilot TrailSport,New,46500.0,5.0,12,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H82NB100429,5.0,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer,Pilot,1,False,West,19.0,25.0,22.0,3.5,6.0,,True
2023,Honda,CR-V Hybrid Sport Touring,New,40395.0,4.4,12,Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H90PH805954,5.0,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,Odyssey EX-L,New,42250.0,4.4,12,Pacific Pewter Metallic,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H67PB024270,5.0,5.0,5.0,4.0,4.0,4.0,5.0,CA,Dealer,Odyssey,0,False,West,,,,3.5,6.0,,True
2023,Honda,CR-V Hybrid Sport,New,34090.0,4.4,12,Urban Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H56PH703596,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,CR-V Hybrid Sport Touring,New,39845.0,1.2,70,Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH805315,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,CR-V Hybrid Sport Touring,New,40240.0,1.2,70,Platinum White Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800573,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,CR-V Hybrid Sport,New,34700.0,1.2,70,Urban Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H54PH703791,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,CR-V Hybrid Sport Touring,New,40850.0,1.2,70,Still Night Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H91PE003271,,5.0,3.0,4.0,4.0,5.0,5.0,CA,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
2023,Honda,Pilot Elite,New,53375.0,1.2,70,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H83PB005557,,,,,,,,CA,Dealer,Pilot,0,False,West,,,,3.5,6.0,,False
2022,Honda,Pilot Special Edition,New,44600.0,5.0,333,Dark Cherry Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB087120,3.0,5.0,5.0,5.0,5.0,5.0,5.0,NV,Dealer,Pilot,1,False,West,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,CR-V EX-L,New,34640.0,4.7,2051,Crystal Black Pearl,–,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H77PL000638,5.0,5.0,5.0,5.0,4.0,4.0,5.0,AZ,Dealer,CR-V,0,False,West,,,,1.5,4.0,,True
2023,Honda,Pilot Sport,New,42595.0,4.3,1239,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H3XPB002207,1.0,,,,,,,UT,Dealer,Pilot,0,False,West,19.0,25.0,22.0,,6.0,,False
2023,Honda,Pilot Elite,New,53720.0,4.3,1239,White,Brown,All-wheel Drive,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNYG1H80PB000865,1.0,,,,,,,UT,Dealer,Pilot,0,False,West,19.0,25.0,22.0,,6.0,,False
2023,Honda,Pilot TrailSport,New,50150.0,4.6,985,Sky,Black,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H62PB000395,,,,,,,,CO,Dealer,Pilot,0,False,West,,,,3.5,6.0,,False
2023,Honda,CR-V Hybrid Sport Touring,New,40939.0,4.5,1972,Platinum White Pearl,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H97PH800251,15.0,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer,CR-V,0,True,West,,,,2.0,4.0,,True
